Timestamp(ms),Current(uA)
4420,3452.803
4430,3451.774
4440,3447.113
4450,3449.658
4460,3442.775
4470,3440.791
4480,3440.985
4490,3438.765
4500,3440.158
4510,3442.546
4520,3433.722
4530,3435.441
4540,3437.962
4550,3437.978
4560,3438.809
4570,3439.880
4580,3439.094
4590,3434.152
4600,3432.779
4610,3435.344
4620,3436.447
4630,3432.853
4640,3431.753
4650,3434.741
4660,3431.980
4670,3432.568
4680,3429.256
4690,3434.878
4700,3434.916
4710,3435.597
4720,3421.990
4730,3424.291
4740,3423.514
4750,3423.532
4760,3425.219
4770,3423.620
4780,3422.939
4790,3422.959
4800,3421.762
4810,3419.997
4820,3423.773
4830,3421.682
4840,3422.552
4850,3419.202
4860,3428.121
4870,3424.623
4880,3422.759
4890,3425.413
4900,3426.834
4910,3420.515
4920,3419.646
4930,3425.752
4940,3426.601
4950,3426.245
4960,3429.576
4970,3423.750
4980,3421.118
4990,3423.862
5000,3424.309
5010,3424.566
5020,3422.270
5030,3420.844
5040,3419.941
5050,3421.146
5060,3421.964
5070,3425.046
5080,3425.580
5090,3427.313
5100,3422.199
5110,3426.419
5120,3421.219
5130,3422.733
5140,3425.706
5150,3426.689
5160,3423.033
5170,3426.988
5180,3425.150
5190,3430.989
5200,3424.248
5210,3427.158
5220,3429.357
5230,3423.042
5240,3422.621
5250,3422.811
5260,3423.064
5270,3427.630
5280,3421.387
5290,3417.226
5300,3423.582
5310,3430.054
5320,3423.060
5330,3425.175
5340,3428.557
5350,3427.711
5360,3425.109
5370,3421.941
5380,3428.697
5390,3423.586
5400,3423.357
5410,3426.990
5420,3425.364
5430,3432.364
5440,3427.130
5450,3424.168
5460,3429.388
5470,3426.657
5480,3425.260
5490,3421.892
5500,3422.387
5510,3425.729
5520,3426.520
5530,3423.868
5540,3427.240
5550,3426.327
5560,3426.552
5570,3425.310
5580,3428.538
5590,3432.389
5600,3428.292
5610,3430.867
5620,3432.649
5630,3428.954
5640,3428.855
5650,3430.995
5660,3431.635
5670,3432.735
5680,3430.898
5690,3425.970
5700,3426.277
5710,3431.412
5720,3430.152
5730,3432.334
5740,3424.796
5750,3426.969
5760,3420.658
5770,3423.054
5780,3420.888
5790,3423.138
5800,3422.987
5810,3420.153
5820,3419.158
5830,3427.513
5840,3427.491
5850,3426.109
5860,3424.596
5870,3423.131
5880,3422.831
5890,3423.344
