Timestamp(ms),Current(uA)
0,0.151
10,0.148
20,0.135
30,0.143
40,0.146
50,0.142
60,0.139
70,0.141
80,0.141
90,0.140
100,0.146
110,0.145
120,0.143
130,0.137
140,0.149
150,0.150
160,0.146
170,0.146
180,0.153
190,0.146
200,0.152
210,0.146
220,0.146
230,0.133
240,0.128
250,0.121
260,0.123
270,0.130
280,0.132
290,0.132
300,0.130
310,0.125
320,0.117
330,0.114
340,0.109
350,0.114
360,0.106
370,0.107
380,0.112
390,0.118
400,0.127
410,0.126
420,0.116
430,0.121
440,0.113
450,0.100
460,0.108
470,0.109
480,0.120
490,0.117
500,0.118
510,0.115
520,0.111
530,0.113
540,0.113
550,0.106
560,0.112
570,0.112
580,0.116
590,0.105
600,0.109
610,0.111
620,0.103
630,0.105
640,0.105
650,0.103
660,0.100
670,0.099
680,0.105
690,0.110
700,0.108
710,0.106
720,29131.389
730,16852.439
740,12225.044
750,10505.860
760,9879.686
770,9654.195
780,9583.696
790,9564.934
800,9578.451
810,9588.111
820,9616.159
830,9636.547
840,9670.325
850,9692.781
860,9715.364
870,9747.609
880,9753.920
890,9780.879
900,9811.642
910,9834.848
920,9863.366
930,9897.105
940,9926.178
950,9948.104
960,9983.713
970,10004.850
980,10039.105
990,10069.175
1000,10091.545
1010,10126.965
1020,10156.778
1030,10186.740
1040,10217.181
1050,10239.302
1060,10273.189
1070,10298.421
1080,10325.988
1090,10357.389
1100,10382.265
1110,10409.421
1120,10439.521
1130,10466.891
1140,10483.543
1150,10503.477
1160,10529.082
1170,10554.989
1180,10576.655
1190,10598.126
1200,10443.989
1210,7802.081
1220,6745.937
1230,6381.375
1240,6252.394
1250,6212.879
1260,6216.332
1270,6231.769
1280,6252.082
1290,6264.285
1300,6289.162
1310,6306.081
1320,6329.988
1330,6347.817
1340,6364.488
1350,6382.440
1360,6399.743
1370,6420.433
1380,6429.590
1390,6444.949
1400,6284.583
1410,6231.888
1420,6226.109
1430,6217.543
1440,6221.719
1450,6224.978
1460,6224.119
1470,6235.103
1480,6239.581
1490,6243.572
1500,6111.795
1510,6012.937
1520,5978.470
1530,5966.251
1540,5965.551
1550,5955.971
1560,5948.529
1570,5947.476
1580,5949.079
1590,5952.259
1600,5947.746
1610,5955.634
1620,5952.716
1630,5954.938
1640,5953.406
1650,5949.157
1660,5952.215
1670,5943.470
1680,6729.995
1690,7103.394
1700,6481.710
1710,5741.908
1720,5474.175
1730,5370.936
1740,5339.838
1750,5305.850
1760,5302.692
1770,5880.166
1780,5480.181
1790,5533.570
1800,7070.398
1810,7606.345
1820,7157.536
1830,6128.746
1840,5378.087
1850,5629.554
1860,5763.721
1870,6310.109
1880,6143.110
1890,5271.300
1900,4964.067
1910,4849.899
1920,4797.731
1930,4764.615
1940,4753.967
1950,4739.468
1960,4730.267
1970,4723.408
1980,4711.070
1990,4703.094
2000,4697.937
2010,4693.936
2020,4687.649
2030,4676.460
2040,4671.830
2050,4662.930
2060,4666.465
2070,4660.068
2080,4646.034
2090,4641.939
2100,4640.863
2110,4635.447
2120,4635.206
2130,4624.207
2140,4619.628
2150,4620.259
2160,4618.057
2170,4599.330
2180,4598.818
2190,4602.718
2200,4596.005
2210,4591.021
2220,4586.139
2230,4588.033
2240,4586.413
2250,4583.664
2260,4582.519
2270,4583.000
2280,4572.433
2290,4575.324
2300,4572.363
2310,4573.695
2320,4564.147
2330,4559.506
2340,4552.875
2350,4556.156
2360,4553.227
2370,4550.076
2380,4553.683
2390,4554.850
2400,4546.587
2410,4546.823
2420,4543.204
2430,4546.396
2440,4543.237
2450,4544.241
2460,4538.685
2470,4540.850
2480,4536.467
2490,4537.024
2500,4533.460
2510,4535.266
2520,4536.068
2530,4537.505
2540,4537.504
2550,4539.887
2560,4535.539
2570,4534.752
2580,4536.362
2590,4530.126
2600,4532.868
2610,4532.880
2620,4526.051
2630,4531.531
2640,4530.188
2650,4530.211
2660,4530.405
2670,4535.083
2680,4539.186
2690,4542.244
2700,4541.375
2710,4543.795
2720,4541.459
2730,4539.828
2740,4539.865
2750,4541.733
2760,4543.442
2770,4538.504
2780,4540.290
2790,4534.289
2800,4539.340
2810,4541.915
2820,4545.704
