Timestamp(ms),Current(uA)
4300,3436.957
4310,3438.243
4320,3440.741
4330,3437.181
4340,3439.307
4350,3437.256
4360,3439.489
4370,3438.801
4380,3436.436
4390,3435.292
4400,3438.093
4410,3441.415
4420,3435.972
4430,3435.059
4440,3441.675
4450,3435.482
4460,3437.450
4470,3436.685
4480,3440.318
4490,3438.620
4500,3440.575
4510,3436.662
4520,3436.089
4530,3434.250
4540,3434.003
4550,3433.646
4560,3439.543
4570,3437.083
4580,3436.355
4590,3441.430
4600,3440.190
4610,3444.512
4620,3437.719
4630,3437.934
4640,3437.570
4650,3442.872
4660,3438.428
4670,3440.899
4680,3442.441
4690,3443.779
4700,3438.303
4710,3439.477
4720,3441.355
4730,3439.854
4740,3437.540
4750,3439.382
4760,3438.919
4770,3430.807
4780,3430.987
4790,3435.503
4800,3431.252
4810,3434.449
4820,3429.996
4830,3435.741
4840,3432.911
4850,3433.487
4860,3433.852
4870,3436.124
4880,3436.802
4890,3435.862
4900,3434.087
4910,3429.514
4920,3430.366
4930,3431.965
4940,3434.171
4950,3433.213
4960,3431.085
4970,3436.392
4980,3434.353
4990,3432.555
5000,3437.109
5010,3439.981
5020,3435.819
5030,3434.629
5040,3431.653
5050,3433.090
5060,3433.490
5070,3435.050
5080,3433.823
5090,3437.352
5100,3435.393
5110,3436.853
5120,3439.318
5130,3439.268
5140,3435.828
5150,3438.218
5160,3434.828
5170,3437.052
5180,3437.387
5190,3433.972
5200,3436.738
5210,3439.782
5220,3438.072
5230,3432.138
5240,3438.634
5250,3435.465
5260,3435.798
5270,3439.662
5280,3435.706
5290,3435.509
5300,3435.878
5310,3430.327
5320,3434.145
5330,3437.470
5340,3434.866
5350,3433.925
5360,3434.739
5370,3435.062
5380,3438.828
5390,3436.029
5400,3440.352
5410,3436.893
5420,3436.430
5430,3434.221
5440,3430.838
5450,3438.162
5460,3441.250
5470,3436.686
5480,3440.538
5490,3438.347
5500,3438.640
5510,3435.249
5520,3443.269
5530,3439.159
5540,3438.974
5550,3434.937
5560,3435.459
5570,3434.160
5580,3436.511
5590,3436.854
5600,3438.921
5610,3436.086
5620,3440.162
5630,3443.287
5640,3441.669
5650,12461.857
5660,30114.285
5670,36620.473
5680,39006.895
5690,39902.344
5700,40206.973
5710,39941.707
5720,40263.207
5730,40404.660
5740,40444.098
5750,40485.539
5760,40471.488
5770,40492.824
5780,40478.941
5790,40503.121
5800,40480.898
5810,40488.168
5820,40493.348
5830,40508.391
5840,40490.367
5850,40955.957
5860,40770.074
5870,40715.953
5880,40670.547
5890,40667.551
5900,40662.270
5910,40226.547
5920,40480.777
5930,40656.754
5940,40729.906
5950,41178.574
5960,41320.191
5970,41392.320
5980,41420.730
5990,41182.570
6000,41387.156
6010,41452.320
6020,41483.637
6030,41501.977
6040,40942.094
6050,40774.652
6060,40874.918
6070,40972.297
6080,41010.379
6090,41034.289
6100,40696.281
6110,40920.809
6120,40983.902
6130,41017.730
6140,41003.563
6150,40418.500
6160,40776.539
6170,40931.559
6180,40994.613
6190,41033.332
6200,41029.031
6210,40764.047
6220,40995.512
6230,41070.512
6240,41097.949
6250,41109.688
6260,40887.254
6270,41418.727
6280,41160.828
6290,41392.414
6300,41604.137
6310,41275.016
6320,41510.430
6330,41127.742
6340,41472.441
6350,41322.688
6360,40823.363
6370,40834.926
6380,40814.031
6390,40877.762
6400,40899.121
6410,40553.148
6420,40830.797
6430,40943.770
6440,40971.191
6450,41006.582
6460,40553.973
6470,40823.973
6480,41005.754
6490,41086.086
6500,41112.227
6510,41015.977
6520,40595.957
6530,40819.988
6540,40902.688
6550,40926.766
6560,40917.094
6570,40589.504
6580,41214.996
6590,41209.527
6600,41407.172
6610,41493.688
6620,41247.938
6630,41308.078
6640,41096.070
6650,41314.172
6660,40800.773
6670,41158.066
6680,41232.547
6690,41113.375
6700,41229.309
6710,40295.637
6720,40551.238
6730,40549.539
6740,40561.188
6750,40512.707
6760,40477.605
6770,40419.684
6780,40372.031
6790,40367.938
6800,40356.270
6810,40331.301
6820,40343.859
6830,40352.215
6840,40354.086
6850,40798.215
6860,40627.137
6870,40553.660
6880,40540.602
6890,40529.051
6900,40529.195
6910,40249.918
6920,40458.469
6930,40698.168
6940,40796.895
6950,40810.191
6960,40830.805
6970,40828.113
6980,40861.094
6990,40871.590
7000,40867.598
7010,40852.094
7020,40875.359
7030,40867.848
7040,40873.082
7050,40864.328
7060,40874.746
7070,40889.070
7080,40899.547
7090,40887.379
7100,40882.746
7110,40876.367
7120,40535.953
7130,40788.891
7140,40885.738
7150,40906.512
7160,40932.480
7170,40939.613
7180,40961.242
7190,40947.547
7200,40963.234
7210,40953.973
7220,40984.039
7230,40968.152
7240,40971.652
7250,40946.391
7260,40964.344
7270,40951.008
7280,40971.961
7290,40970.297
7300,40985.336
7310,40979.844
7320,40451.316
7330,40808.266
7340,40911.680
7350,40921.617
7360,41052.418
7370,41103.449
7380,41137.336
7390,41130.629
7400,41163.926
7410,41134.441
7420,41149.668
7430,41139.695
7440,41160.844
7450,41162.617
7460,41157.652
7470,41146.711
7480,41172.570
7490,41151.352
7500,41161.230
7510,41141.742
7520,41046.672
7530,40725.730
7540,40940.703
7550,40805.609
7560,41394.461
7570,41615.992
7580,41701.266
7590,41739.266
7600,41304.066
7610,41534.961
7620,41694.582
7630,41733.219
7640,41755.258
7650,41749.590
7660,41625.082
7670,41757.867
7680,41844.664
7690,41849.223
7700,41890.203
7710,41620.789
7720,41760.324
7730,41749.898
7740,41762.367
7750,41737.000
7760,40967.578
7770,41028.680
7780,41141.805
7790,41146.934
7800,41186.238
7810,41125.699
7820,40924.293
7830,41065.816
7840,41148.109
7850,41613.246
7860,41415.461
7870,40853.867
7880,41162.684
7890,41245.473
7900,41305.906
7910,41295.348
7920,40974.762
7930,40954.387
7940,41126.688
7950,41160.879
7960,41192.500
7970,41163.379
7980,41121.547
7990,41562.703
8000,41440.145
8010,41721.699
8020,41525.523
8030,41628.895
8040,41842.391
8050,41538.449
8060,41827.738
8070,41391.918
8080,41763.961
8090,41570.699
8100,41720.371
8110,41808.754
8120,41158.906
8130,41136.391
8140,41106.758
8150,41049.129
8160,41007.629
8170,40491.770
8180,40866.289
8190,40970.273
8200,41035.848
8210,41023.703
8220,40972.324
8230,40892.316
8240,41069.488
8250,41156.766
8260,41237.754
8270,41235.957
8280,40923.609
8290,41176.422
8300,41311.969
8310,41324.777
8320,41342.172
8330,40844.742
8340,41528.199
8350,41675.746
8360,41498.262
8370,41719.633
8380,41426.680
