Timestamp(ms),Current(uA)
4290,4501.011
4300,4504.135
4310,4502.387
4320,4507.892
4330,4504.639
4340,4502.388
4350,4502.785
4360,4502.456
4370,4504.264
4380,4506.782
4390,4503.821
4400,4503.368
4410,4499.953
4420,4508.917
4430,4503.592
4440,4502.148
4450,4499.574
4460,4502.512
4470,4503.629
4480,4503.871
4490,4502.200
4500,4500.515
4510,4507.574
4520,4502.028
4530,4502.094
4540,4504.192
4550,4508.060
4560,4504.896
4570,4510.188
4580,4504.153
4590,4504.708
4600,4498.948
4610,4499.890
4620,4504.356
4630,4501.084
4640,4500.831
4650,4498.837
4660,4498.704
4670,4505.031
4680,4499.545
4690,4504.051
4700,4501.600
4710,4498.729
4720,4499.802
4730,4498.659
4740,4499.301
4750,4504.834
4760,4505.661
4770,4500.517
4780,4504.413
4790,4499.650
4800,4502.523
4810,4501.719
4820,4501.475
4830,4503.063
4840,4505.614
4850,4497.776
4860,4504.446
4870,4503.962
4880,4499.739
4890,4502.153
4900,4499.102
4910,4498.423
4920,4499.353
4930,4501.805
4940,4501.783
4950,4501.839
4960,4502.721
4970,4499.317
4980,4498.659
4990,4501.658
5000,4502.532
5010,4502.344
5020,4499.207
5030,4501.404
5040,4499.723
5050,4500.665
5060,4499.138
5070,4502.146
5080,4496.786
5090,4497.715
5100,4505.067
5110,4503.466
5120,4506.218
5130,4504.288
5140,4502.296
5150,4501.668
5160,4500.394
5170,4499.424
5180,4499.635
5190,4499.472
5200,4498.795
5210,4499.658
5220,4500.570
5230,4501.695
5240,4495.228
5250,4502.338
5260,4501.207
5270,4499.961
5280,4499.567
5290,4499.479
5300,4497.473
5310,4496.095
5320,4505.562
5330,4501.803
5340,4502.003
5350,4500.905
5360,4500.241
5370,4500.395
5380,4500.536
5390,4502.549
5400,4500.634
5410,4500.851
5420,4501.682
5430,4501.401
5440,4500.000
5450,4505.072
5460,4504.501
5470,4506.590
5480,4503.954
5490,4498.775
5500,4500.197
5510,4506.855
5520,4505.083
5530,4501.373
5540,4500.766
5550,4500.983
5560,4503.530
5570,4502.958
5580,4504.788
5590,4503.697
5600,4501.754
5610,4504.503
5620,4506.371
5630,4507.933
5640,4501.849
5650,4505.810
5660,4503.906
5670,4499.927
5680,4502.688
5690,4498.452
5700,4502.841
5710,4499.952
5720,4494.199
5730,4499.109
5740,4503.594
5750,4505.212
5760,4499.997
5770,4501.884
5780,4503.707
5790,4502.317
5800,4501.892
5810,4504.559
5820,4504.497
5830,4508.697
5840,4507.461
5850,4503.146
5860,4505.326
5870,4502.424
5880,4504.426
5890,4499.831
5900,4505.536
5910,4507.279
5920,4506.047
5930,4503.778
5940,4501.608
5950,4500.360
5960,4500.970
5970,4505.335
5980,4504.461
5990,4500.863
6000,4504.730
6010,4507.333
6020,4507.348
6030,4506.271
6040,4501.569
6050,4502.221
6060,4503.157
6070,4507.074
6080,4510.118
6090,4507.061
6100,4504.353
6110,4510.423
6120,4503.011
6130,4503.861
6140,4507.662
6150,4508.580
6160,4506.279
6170,4509.006
6180,4503.996
6190,4505.170
6200,4506.398
6210,4502.563
6220,4505.094
6230,4501.644
6240,4502.678
6250,4503.688
6260,4497.755
6270,4509.648
6280,4507.528
6290,4500.999
6300,4501.821
6310,4503.903
6320,4503.567
6330,4502.574
6340,4505.565
6350,4499.479
6360,4501.737
6370,4498.448
6380,4504.723
6390,4504.213
6400,4506.452
6410,4505.703
6420,4505.244
6430,4507.237
6440,4501.153
6450,4501.590
6460,4499.168
6470,4500.647
6480,4502.039
6490,4500.840
6500,4501.904
6510,4500.417
6520,4504.520
6530,4504.556
6540,4500.901
6550,4502.587
6560,4502.914
6570,4501.833
6580,4503.657
6590,4506.087
6600,4502.327
6610,4500.504
6620,4500.765
6630,4502.913
6640,4499.504
6650,4498.294
6660,4507.463
6670,4500.962
6680,4501.197
6690,4503.781
6700,4499.122
6710,4501.080
6720,4498.542
6730,4501.910
6740,4497.480
6750,4498.314
6760,4497.336
6770,4496.745
6780,4500.145
6790,4500.683
6800,4502.521
6810,4501.378
6820,4499.518
6830,4502.132
6840,4504.511
6850,4501.492
6860,4502.314
6870,4500.326
6880,4505.452
6890,4500.534
6900,4504.682
6910,4501.704
6920,4655.457
6930,5033.478
6940,5165.014
6950,22302.689
6960,32788.105
6970,36612.566
6980,38105.496
6990,38569.875
7000,38728.980
7010,38831.152
7020,38872.957
7030,38790.672
7040,38799.008
7050,38810.305
7060,38819.227
7070,38875.453
7080,38836.602
7090,38829.426
7100,38839.102
7110,39567.328
7120,40643.879
7130,41007.895
7140,40612.086
7150,41875.078
7160,42408.148
7170,42468.594
7180,42717.867
7190,42434.875
7200,42937.047
7210,42998.645
7220,42851.559
7230,42929.234
7240,42642.445
7250,42918.066
7260,42557.922
7270,43037.410
7280,43278.289
7290,43186.453
7300,43384.441
7310,43331.680
7320,43558.051
7330,43002.664
7340,43306.387
7350,43412.992
7360,42857.133
7370,42459.664
7380,42499.172
7390,42684.586
7400,42525.090
7410,42308.535
7420,42555.488
7430,42808.887
7440,42756.148
7450,42798.332
7460,43163.941
7470,43215.672
7480,43033.879
7490,42875.695
7500,43105.613
7510,42698.590
7520,42478.160
7530,42350.219
7540,42990.934
7550,43027.172
7560,43085.883
7570,43249.840
7580,43287.371
7590,42916.383
7600,42909.336
7610,42824.789
7620,43150.223
7630,42964.484
7640,42717.969
7650,42664.230
7660,42402.117
7670,42523.172
7680,42319.414
7690,42541.906
7700,42303.516
7710,42587.828
7720,42794.219
7730,42513.988
7740,42671.480
7750,42317.844
7760,42720.473
7770,42716.758
7780,42948.836
7790,43088.227
7800,43035.453
7810,43199.121
7820,43013.230
7830,43254.203
7840,42901.078
7850,43186.762
7860,43328.492
7870,42626.680
7880,42341.891
7890,42524.324
7900,42332.180
7910,41993.859
7920,42300.016
7930,42725.055
7940,42921.406
7950,42840.797
7960,42832.480
7970,43045.633
7980,43029.438
7990,43038.578
8000,42630.027
8010,42640.840
8020,42442.875
8030,42263.633
8040,42346.703
8050,42396.602
8060,42489.113
8070,42581.660
8080,43031.531
8090,42999.648
8100,43126.992
8110,42839.887
8120,42842.535
8130,43035.180
8140,42651.012
8150,42893.219
8160,42535.109
8170,42534.516
8180,42679.602
8190,42453.273
8200,42702.527
8210,42426.965
8220,42812.352
8230,42837.891
8240,42680.336
8250,42850.777
8260,42657.277
8270,43121.750
8280,43054.473
8290,43286.652
8300,43393.293
8310,43339.355
8320,43501.953
8330,43192.328
8340,43420.145
8350,43015.223
8360,43405.832
8370,43349.047
8380,43493.230
8390,43485.855
8400,42876.426
8410,42518.563
8420,42793.367
8430,42807.430
8440,42571.855
8450,42449.594
8460,42990.707
8470,43088.977
8480,42984.848
8490,42887.379
8500,43151.836
8510,43326.121
8520,43310.977
8530,42723.656
8540,42900.250
8550,42847.457
8560,42522.176
8570,42211.313
8580,42546.684
8590,42873.418
8600,42890.988
8610,42941.797
8620,43254.691
8630,43288.496
8640,43110.945
8650,42784.945
8660,43089.512
8670,42652.586
8680,42787.957
8690,42446.383
8700,42760.570
8710,42759.105
8720,42676.070
8730,42824.199
8740,42517.074
8750,42860.035
8760,42513.754
8770,42749.398
8780,42902.469
8790,42988.520
8800,43316.598
8810,43207.848
8820,43478.512
8830,43170.164
8840,43325.875
8850,43315.758
8860,43158.652
8870,43329.918
8880,43095.918
8890,43342.547
8900,43049.777
8910,43265.223
8920,43123.121
8930,42718.336
8940,42509.441
8950,42472.730
8960,42807.809
8970,42578.789
8980,42609.129
8990,42784.395
9000,43158.176
9010,43099.141
9020,42947.766
9030,42917.113
9040,43369.875
9050,43167.426
9060,42581.852
9070,42483.625
9080,42699.387
9090,42450.125
9100,42346.641
9110,42311.832
9120,42886.957
9130,42912.949
9140,43245.855
9150,43062.516
9160,43401.895
9170,43272.973
9180,43099.926
9190,42826.402
9200,42677.105
9210,42892.488
9220,42676.906
9230,42757.824
9240,42437.996
9250,42744.012
9260,42895.980
9270,42696.387
9280,42893.387
9290,42462.633
9300,42763.059
9310,42768.191
9320,43017.457
9330,43273.055
9340,43141.168
9350,43389.969
9360,43246.813
9370,43381.949
9380,42998.445
9390,43248.352
9400,43358.133
9410,43076.902
9420,43356.785
9430,43119.668
9440,43247.254
9450,42685.727
9460,42722.816
9470,42451.953
9480,42427.727
9490,42430.172
9500,42591.367
9510,42486.293
9520,42333.500
9530,42916.816
9540,42858.301
9550,42906.398
9560,42871.855
9570,42919.945
9580,42954.969
9590,42780.223
9600,42469.145
9610,42651.699
9620,42486.039
9630,42496.477
9640,42254.543
9650,42607.246
9660,42440.559
9670,42324.145
9680,42454.891
9690,42860.004
9700,42949.180
9710,42952.859
9720,42712.746
9730,43183.855
9740,43099.840
9750,42448.516
9760,42651.746
9770,42604.809
9780,42451.402
9790,42592.324
9800,42404.980
9810,42685.930
9820,42513.242
9830,42763.039
9840,42730.727
9850,42738.848
9860,43160.238
9870,43043.789
9880,43193.270
9890,42913.934
9900,43146.020
9910,43245.527
9920,43056.410
9930,43229.109
9940,42866.691
9950,43144.473
9960,43039.578
9970,43279.207
9980,43359.637
9990,42958.410
10000,42667.320
10010,42551.957
10020,42843.297
10030,42739.625
10040,42534.449
10050,42388.672
10060,42902.453
10070,42911.918
10080,43013.512
10090,42935.941
10100,43373.801
10110,43197.941
10120,42934.582
10130,42645.289
10140,42841.727
10150,42623.887
10160,42665.090
10170,42629.113
10180,42802.059
10190,42651.000
10200,42595.453
10210,43140.688
10220,43007.324
10230,43129.801
10240,43114.703
10250,42995.770
10260,43207.859
10270,43075.801
10280,42580.941
10290,42770.777
10300,42773.906
10310,42561.152
10320,42901.996
10330,42495.840
10340,42859.176
10350,42927.254
10360,42902.895
10370,42984.840
10380,42888.141
10390,43274.676
10400,43135.742
10410,43401.426
10420,43450.926
10430,43314.648
10440,43249.496
10450,42973.375
10460,43179.172
10470,42815.332
10480,43186.563
10490,43193.934
10500,43320.891
10510,43308.754
10520,42794.672
10530,42332.168
10540,42600.723
10550,42682.254
10560,42527.023
10570,42290.570
10580,42678.961
10590,42883.035
10600,42861.891
10610,42929.906
10620,43243.277
10630,43261.625
10640,43053.789
10650,42832.129
10660,43167.398
10670,43079.020
10680,43028.285
10690,42446.434
10700,42541.422
10710,42570.297
10720,42363.254
10730,42204.281
10740,42589.691
10750,42491.469
10760,42469.516
10770,42681.492
10780,43068.785
10790,43016.555
10800,42886.238
10810,42859.387
10820,43177.340
10830,43188.246
10840,43030.754
10850,42818.391
10860,43105.641
10870,42533.609
10880,42743.426
10890,42419.813
10900,42745.684
10910,42766.754
10920,42647.434
10930,42844.754
10940,42556.375
10950,42911.375
10960,42508.453
10970,43012.699
10980,43220.207
10990,43208.449
11000,43332.859
11010,43106.066
11020,43312.531
11030,42999.828
11040,43360.348
11050,43266.645
11060,43198.961
11070,43483.387
11080,43325.469
11090,43460.723
11100,42869.711
11110,42960.477
11120,42799.539
11130,42613.426
11140,42496.180
11150,42794.313
11160,42669.902
11170,42676.406
11180,43082.906
11190,43378.922
11200,43417.125
11210,43320.473
11220,42916.664
11230,43344.602
11240,43200.414
11250,42788.637
11260,42527.738
11270,42763.652
11280,42692.172
11290,42470.156
11300,42500.008
11310,42624.914
11320,42811.535
11330,42788.215
11340,43261.398
11350,43380.926
11360,43290.695
11370,43005.102
11380,42976.887
11390,43340.227
11400,42681.262
11410,42921.941
11420,42925.891
11430,42710.777
11440,42576.754
11450,42263.375
11460,42654.797
11470,42744.738
11480,42940.809
11490,42938.297
11500,42919.559
11510,42615.332
11520,42921.016
11530,43048.523
11540,43030.977
11550,43005.465
11560,42655.320
11570,42949.742
11580,43062.922
11590,43030.332
11600,42978.363
11610,42511.863
11620,42482.359
11630,42709.074
11640,42803.313
11650,42769.039
11660,42747.953
11670,42813.746
11680,43320.539
11690,42930.949
11700,43195.020
11710,43159.434
11720,43072.199
11730,43319.461
11740,43178.184
11750,43333.480
11760,43198.641
11770,43338.594
11780,42961.398
11790,43184.820
11800,43327.336
11810,42701.895
11820,42729.539
11830,42143.750
11840,42466.199
11850,42559.004
11860,42432.105
11870,42644.809
11880,42381.098
11890,42671.371
11900,42450.371
11910,42547.734
11920,42669.590
11930,42638.844
11940,42880.160
11950,42902.688
11960,43160.289
11970,42875.695
